Description,Label
múa như cái biệt danh Susan : Chó :)),toxic
Tặng cho những con bò thích làm theo và học tập theo...🤣🤣,toxic
ʚöɞPhong Trần ʚöɞ Đoàn Chính Park Huyn Phong Tấn Đồng quê ta gọi là gì 😂😂,non-toxic
"Ko phải chê gì chứ khả năng win của sbtc quá cao. Sela kidz clear vs petland toàn những thanh niên chuyên nghiệp try hard vkl sao những ""ông già"" bên kia chơi lại. Còn thầy lồn thì t xin mạng phép bỏ qua ko nói tới coi như sbtc 4 đánh 6",toxic
Thùy Trang nghe chưa dc 15s tắt cmnr nhạc vs nhẽo,toxic
Lào giờ gần như là của Tàu khựa rồi thằng ad ngu ạ. Ủng hộ cái mồ tổ cha mày.,toxic
Ngay bên cạnh còn thấy codon nữa nói gì yêu xaaa 😞,non-toxic
được anh ey :)),non-toxic
Giờ này ngta ngủ hết r thầy ơi . Ai ngủ rồi điểm danh phát,non-toxic
may lại có r,non-toxic
Quang Minh cái lồn má,toxic
vl :)) handsome boy,toxic
Song trên doi người ta dam ăn  dám  noi con người thẳng thắn. Con hơn mấy con mượn  danh đạo  tạo danh đời đồ  giả  tạo nhìn  là  biết  chỉ  do 1so con ko thấy  đôg cức trên  đầu mình  .mấy  con di ma hay soi moi người  ta 2019 rồi  tập  lam con người  lại  di.,toxic
"Ngu thì chết, đâu phải ko có suy nghĩ đúng sai, chỉ do ko có ý thức.",toxic
Ngộ nghĩnh nhỉ🙂,non-toxic
Yêu làm cái j,non-toxic
Thủy Tạ cho mình hỏi này uốn kiểu gì vậy bạn ơi ??,non-toxic
Ok thầy nhé,non-toxic
"Cảm giác như dân mình giống thời kì bị đô hộ vkl. Sưu thuế ngập mồm. Mà bị đô hộ khéo còn phát triển đc chứ đây chả thấy đc cái méo gì, còn khổ thêm",toxic
Ko thich VN thì cút sang Campuchia mà sống (DLV cho biết),toxic
Tộc Mixi có khác :33,non-toxic
Nhi Lai mới nghe nói hồi chiều :))))))),non-toxic
Chắc trêu =))),non-toxic
Popy đi Thầy,non-toxic
cho xin video vs,non-toxic
Giáo án về One champ Lee bú đá và rụng mất xác,toxic
Bên ngoài tóc đẹp bên trong nhiều tiền,non-toxic
Con gà phải để cho abe,non-toxic
Ae cho phím 1 đuổi Abe để cô Dolce quay trở lại nào 😞,non-toxic
"Hot girl ống tinh đi, nghe vui tai hơn",toxic
Bài này nghe bất tai thôi. Dùng comeback vs cảm ơn đàn Đóm của ổng. Chứ bài này không có tính phổ biến đủ mọi loại tuổi như 3 hit đầu,non-toxic
Kênh Chat thế giới khác,non-toxic
Giờ mới nghe ....trời đất ơi cái miệng nó dơ bẩn vô cùng ...bởi vậy giờ cả thế giới đều khinh bỉ ...trời ơi ...khẩu nghiệp vô cùng ..😠😠😠😠😠,toxic
Lươn khươn kiểu cao lãnh 🤣,non-toxic
Phải biết là sam và so khác nhau.và so đuôi tam giác và so đuôi tròn càng khác nhau nữa,non-toxic
Ninh Trần cover liền 😂😂,non-toxic
"đếm dc tầm trăm ""con chim vàng""",non-toxic
Đíu ai like. Cho thầy đi ăn cắp luôn,toxic
Căng quá các bác uiii,non-toxic
Mỗi ho k có đờm gì hết r hqua lại mệt,non-toxic
Cô tui đỉnh quá ><,non-toxic
Bon con chau TQ lam j co van hoa,toxic
Cho em hỏi sao em xem cmt suốt ngày có Cực kì thuyết phục là sao ạ?,non-toxic
Valentine năm ngoái có anh,non-toxic
Cái bình chữa cháy này chưa đạt chuẩn :v chứ nếu chuẩn thì oto ko cháy nhanh thế đâu,non-toxic
Khẩu nghiệp chêt mẹ may đó trời qua báo may đó hồi xưa may chửi nhiều người . Bây giơ trời qua bao may đo minh hiếu may gu rang chiu kkkkkk,toxic
Lưu Tuyền sắp đến mùa rồi cô ạ ai rủ buôn đừng buôn 😞,non-toxic
Trần Thành,non-toxic
"Nếu vậy thì mấy ông CSGT ra đường làm gì cho ""bẩn áo"". Mấy ông mà mà người xấu hết thù ở nhà là xong. Có thế một phát là VN lại ""một ngày đi một trung đội"" như năm nào...",non-toxic
Ghép làm chó nha ae,non-toxic
"Cũng ko ngạc nhiên jì lắm, gần hết 2020 xăng xái cho đạt yêu cầu quan thầy ấy mà, riêng cái điều này coi bộ khó đạt í,có thằng chó nào ra đường nói tiếng tàu với đồng bào,đồng nghiệp,bạn bè bằng tiếng tàu ko,lúc đó nó cho vào bệnh viện tâm thần thì bỏ mẹ,hay về nhà hôn vợ,nựng con nó có nói tiếng tàu được vợ con nó chắc ngạc nhiên lắm vì nghĩ nó bị khùng,hahaha",toxic
Chúng mày làm gì có văn hóa mà lập ra bộ văn hóa,toxic
Nguyễn Công Viễn cẩn thận nha,non-toxic
"Uầy, được anh ơi. Cứ như ngồi cạnh thằng Tùng ấy nhờ. K có đcm luôn. Nghe cứ điếm vãi cả nồi ấy.",toxic
"T muốn coi qá, nhưng sợ nên ngỉ phẻ. Đỡ tốn tiền 🤣",non-toxic
:(,non-toxic
Like vì cùng suy nghi😁,non-toxic
"Bắn bỏ hết mẹ lũ tham quan đi, lũ chó",toxic
t cừi 2 tiếng rồi và vẫn chưa có dấu hiệu dừng lại,non-toxic
Tự hào quá VN ơi 😂,non-toxic
Ý nghĩa,non-toxic
Vũ Hạnh Dương cô mình hơi nóng hia hiaaaa😂,non-toxic
Idol,non-toxic
Idol lạc qua đây luôn😂😂,non-toxic
con nay mat dai,toxic
"Phạm Tuong không có cái gì cũng tự dưng lôi anh tao vào , cái thứ dòng đỗn lì , không khịa anh tao thì m bị ngứa tay à 🙃",toxic
<3 <3 <3 Từ hôm nay Việt Nam đã có Pikachu Go để chơi rồi nhé ^^,non-toxic
Trung cộng phát hiện có cả virus trong nước tiểu nhé.,toxic
dnn thay ba nhieu hok tro` tot vc :L)),toxic
Chàng trai vs điệu múa bê bết,non-toxic
Còn tốt lắm 👏 😂,non-toxic
chuẩn là ngon ngọt nước luôn,non-toxic
Ai yêu ib nhé,non-toxic
Chắc panda vui 🙃,non-toxic
Nắm tay nhau thật chặt. Giữ Tay nhau thật sâu. Cho chắc ăn. Dân sẽ mừng. Cũng như Mỹ xấu ăn thịt người. Mà Vc pháo kích thì cứ chạy tới Mỹ và Ngụy để được giúp chữa bệnh. Làng Mỹ Lai.,toxic
"Thần quyền Ếch vồ hoa mướp! Thở quá rồi, huyết áp 300 rồi!🤣🤣🤣",non-toxic
Du me may,toxic
Chửi cũng nể nang chứ. Đkm tao báo công an bắt chết cụ mày. Phạt mày 5 tr bây giờ. 😂😂😂😂😂😂,toxic
Này mà lúc buồn xúm lại nghe cô nói chuyện chắc cười chết luôn á🤣,non-toxic
Bai vo nay Bac Ho ma con song bung tay 1 cai la ong toi.can gi phai sung voi dao.dung la ba que ba xao...,toxic
Nguyễn Nam khựa story,toxic
Lê Thư bớt ngu,toxic
Ninh Trần đi đâu cx gặp idol 🙂,non-toxic
Cái mỏ con linh cá lóc ni giống như cái đít vịt,toxic
Tao mà bắt gặp thg nào là tao bêu rếu nó từ đầu trên xuống dưới từ bên này qua bên kia đm cho nó đội quần nó nghỉ làm mẹ luôn dùm tao,toxic
Phạm văn rạng từng bắt dính 3 quả của pele và vô địch sea game lần 1,non-toxic
Ok chấp,non-toxic
Mai Anh Tuân Mua được mấy cái siêu xe cho các con du học bên bển rồi :v,non-toxic
Co con cac,toxic
Nguyễn Đức Ánh lại thêm thằng ngu thíc sủa bậy..,toxic
Hủy cái dmm :v,toxic
nhà tiên tri đã làm bao nhiêu diễn viên mất việc,non-toxic
"Hởi toàn thể 90 trịu dân VN chúng ta hãy truy tìm kẻ khốn nạn này. Đây là tiền thúê của chúg ta góp vào phục vụ đất nước, sao chúng trộm làm của riêng? Đậu móa anh chịu hết nổi rồi",toxic
Tổ sử mấy thằng này chỉ bênh vực nhau. Thế nào là gạt tay?? Lỡ như thằng nhà báo nó đấm vỡ mõm thằng CA xong nó bảo chỉ là gạt tay thì có xử thằng nhà báo ko?? Toàn làm trò hề thôi bọn CA chó này!!,toxic
À thì ra vì muốn ăn 150 tĩ nên bán cái lương tâm vốn đã rách rưới để chê khoa học gia Nhật !,toxic
lương lẹo là nghề của búa liềm,toxic
Sela tuổi gì với abe :))),toxic
Được anh ưii,non-toxic
em cũng không biết nứa -_-,non-toxic
Ý là tháng kiếm 7-8tr chỉ để cho con ăn tôm hùm và cua hoàng đế thôi. Còn số tiền còn lại không kể hết =)),non-toxic
địt mẹ chúng mày cmt lịch sự chút đi..😁😁,toxic
@Anh Nguyen Tuan  biến con mẹ mày,toxic
Đàn bà j nhìn mặt giống dân ông xấu thấy mô,toxic
Được quá nhỡ 😷,non-toxic
"Xl la xong sao , de nghi gia dinh xum lai nho nuoc bot uot het nguoi no moi chiu",toxic
"Hồi đi học thì được biết mấy chữ như tự mãn, tự cao tự đại, tự kiêu.. sau 75 thì chữ tự hào được xài hơi nhiều... từ lúc có điện thoại thông minh thì xuất hiện chữ tự sướng.. bi giờ DLV và AK 47 làm giàu cho ngữ vựng VN chữ tự nhục. Định xin phép các anh chị trong ảnh tự nhục kia cho tui .. tự ké được hong?🧐",toxic
Tóc như kia chỉ có chị Trang đổ thôi chứ ai đổ nổi 😂,non-toxic
Sao lớn rồi cũng có tuổi rồi mà sao ăn nói thiếu văn hóa quá 😒,non-toxic
"đm , đúng là mặc đồ như cái quanque thiệttt 🤦🏻‍♀️",toxic
Bài hát dành cho Khắc ... À mà thôi :)),non-toxic
Anh 3 oi.anh lam gi co LON ma chui.hahaha,toxic
Hahahahahahaaaa,non-toxic
Người ta bị liệu bạn ơi,non-toxic
Giết nó,toxic
Lê Thế Hào cc dell bk cailoz j ve nghe thuat im,toxic
Giống thực sự,non-toxic
Mà thật sự chị Trần Đoàn bán hàng trên mạng từ lâu rồi đó.,non-toxic
Nay toàn lấy cơ chơi lễ trung thu để đi địt nhau thôi anh ạ :))),toxic
Nghe bà này nói chuyện ốc ác noi da gà hết sao ma ác khẩu vậy mà nói tâm tốt sau này cái miệng bà này o có voi nam một cho  roi đó hết la làng tôi kieu an bà này sẽ co,toxic
Chứ tưởng đổi giáo an TF 0156,non-toxic
Dm quảng cáo :)),toxic
sủa sủa sủa 🐕,toxic
Anh em mau nhường giải cho Sela trả nợ nào,non-toxic
Đợi thầy mãi :(,non-toxic
3k và 38 người. Con số đã nói lên tất cả. Tỉ lệ này là 99% Không đồng ý và chỉ có 1% đồng ý. haha Đâu bao giờ dám trưng cầu dân ý.,toxic
Nhìn khó chịu vch.,toxic
ok a ưi,non-toxic
Chiuuuuu :v,non-toxic
Ai là người buồn vậy????,non-toxic
Ông Trần Dần tiên đoán khi nào VN sang giải phóng Bắc Kinh?,non-toxic
Hép pi niu yeahhh,non-toxic
Đúng r bạn,non-toxic
Giàu mà ăn mặc lạ lùng ghê k bằng ăn mặc quê mùa như mình :)),toxic
"Ko đâu ad , chúng nó ngu đó , Cẩu Quan thua mưu Trung Chó nên cớ sự mới ra9 như vậy !",toxic
"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",toxic
Cho phép cái đéo gì mà cá sống ở tầng nước SÂU cũng chết . Đm,toxic
Thay ngáo đá,toxic
Chúng nó cấu kết với nhau để khép tội cho HDHải bằng mọi thủ đoạn ! Bọn chó đấy còn dã man tàn nhẫn như thằng hung thủ kia và vẫn đang nhởn nhơ ngoài vòng pháp luật ! Đáng sợ,toxic
đi phố bô sa tìm danh hài hải ngoại chưa thầy,non-toxic
D m thắm ơi cho em vào lại không sợ chó Đi em sai rồi. Hôm sau em k giám chúc mừng năm mới nữa huhu,toxic
Hay qua chi MINH HIEU oi!!!! E ung ho Chi!!!,non-toxic
Em rất thích chi,non-toxic
Ok anh như 2 giọt nước 😍,non-toxic
Thân Hoài Thương ?? Hay thì like đéo hay chả nhẽ k đc dlike? Lạ lồn thế? Sinh ra nút dlike làm cc gì? Hát như cc thì chả dlike,toxic
Uk công nhận k hay lắm,non-toxic
Trần Linh đau đầu thực sự 😂,non-toxic
Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài...,toxic
Châu Hạ Nghi cđ nhâyy,toxic
"trong đó có bọn comdom gì gì ấy cũng y như vậy, lũ sống bằng tiền lao động của dân mà cứ nghĩ chúng nó là thánh không bằng",toxic
Anh trung bú đá,toxic
Tuổi lồn sánh vai,toxic
Mai anh Độ bắt đầu live thì cả bộ tộc chào cờ rồi hát tộc ca :v,non-toxic
Dũng Trần người việt sang Mỹ :( xong bay dìa cái thành người thứ 34 :(,non-toxic
Manh thi song yeu thi chet,toxic
Có 5 thằng like. Có nghĩa bên cạnh thằng óc chó có thêm 5 thằng óc như chó :)),toxic
Cao Lãnh với chúng tôi làyy,non-toxic
chuyện ở hong kong là một giấc mơ của thiểu số người Việt mà thôi ! .... trưa đọc tí truyện hài cho vui nhà ad ơi,non-toxic
Nào chưa có vợ thì sao dỗi vl,toxic
lương sắp tới cũng là lương sắp đi :),non-toxic
"Những thằng nói đạo lí,thường sống như L^**",toxic
oki =))),non-toxic
Thằng xamlol. M k dùng hay dùng thì t care à,toxic
Non quá thầy ơi,toxic
Sao chi noi tieng de thuong qua chi oi.nam nay chi bao nhieu tuoi roi chi .dep gai qua chi oi,non-toxic
Phụ nữ vn làm gi có ai xấu tai xấu hại vậy xấu hết phần chó,toxic
Ở với + sản..bạn đấu tranh họ cho bạn là phản động...khi + sản sai...nó sẽ rút kinh nghiệm..đậu xanh rau muống..,toxic
"Đất nước hạnh phúc nhất thế giới là người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại đất nước này . Muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi , cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh , bởi rượu vào lời ra thì mạnh ai người ấy nói kk",toxic
"Ở Mỹ cầm bảng ""Trump is Putin's puppet"" chẳng sao nhỉ. Ở VN mà cầm bảng ""Lú là con rối của Tập"", sẽ bị tống vô tù vì tội .... tiết lộ bí mật quốc gia haha :))",toxic
Cái chế độ vc này bàn tay nhuốm máu không biết bao nhiêu người tù vụ cải cách ruộng đất cả trăm ngàn người chết đến vụ học tập cải tạo thêm cả trăm ngàn người chết!,toxic
Là chính e.... ai mà có phi cơ riêng ... thần tượng của Kim Đan Cương,non-toxic
Giờ ko đánh cũng đã khai chính cờ đỏ sao vàng là bọn khủng bố.cần phải dẹp ngay bọn khủng bố cờ đỏ sao vàng này ra khỏi xã hội Việt Nam và cả nhân loại của thế giới 😉,toxic
Thương con chó  mà  phải  mang cái  mặt  của mày  quá,toxic
Trần Thanh Hà ai đấy 😂,non-toxic
Bạn bè bên dai loan và bên nước Việt Nam mình kg tha thứ cho no cho nó một bài học cho nó biết thế nào la suc Phạm dân tộc Việt Nam  kg cho nó bài hoc nó kg sợ dau an nói tuc tĩu mất dạy quá,toxic
Du học Úc à nghen 😇,non-toxic
Xin link dạo hả abe,non-toxic
"Và họ kêu ngày ấy là ""giải phóng"" miền nam 🤣",toxic
Thích nhất đoạn 31:00😂😂😂😂,non-toxic
Hợp lý quá ah êu😑,non-toxic
Lý do 1 đứa con gái chấp nhận yêu xa là thằng kia nó giàu vailou. Hết.....!!!!,toxic
DLV dân lưu vong đâu?,toxic
Ước gì Thu Giangg add friend iloveu dấu bé ba :3333,non-toxic
Lại cà khịa,non-toxic
Trần Dần em yêu anh,non-toxic
BÀ THÁI ANH VĂN RẤT GIẢN DỊ VÀ GẦN GŨI VỚI DÂN _ NHƯNG RẤT KIÊN TRUNG _KIÊN CƯỜNG TRƯỚC KẺ THÙ _ BÀ LÀ TẤM GƯƠNG SÁNG CHO RẤT NHIỀU ĐỨA HÈN VỚI GIẶC ÁC VỚI DÂN THAM HƠN SÚC VẬT SOI VÀO ĐỂ THAY TÂM ĐỔI TÍNH,toxic
@• Amber • làm thơ thì phải có vần. Còn không có vần thì thôi cũng được =)),non-toxic
dr a oi,non-toxic
Rất tiếc ông chọn nhầm cái đãn chó chết để phục vụ,toxic
"Cứ dm nghĩ mình là công chúa các thứ các thứ, đéo hiểu kiểu gì =)))",toxic
tổ lái,non-toxic
Hóng top 1 thịnh hành ><,non-toxic
Mấy thằng báo đời này sao không ai chế tài🤔,toxic
Đĩa bay phải khog mọi người,non-toxic
Thằng này nguồn gốc là công an cộng sản thì bản chất đểu cáng trơ trẽn là đúng rồi.,toxic
Thinh Hoang may là izakaya ở nhật chứ ở houston chết mẹ t:)),toxic
Nguyễn Nhật Long vl nắc,toxic
nhìn như ghép :)),non-toxic
Chào cả nhà,non-toxic
"Đồng chí nào có lòng tốt ra rước bác về dùm , để đấy mấy con chó nó đái lên thì khổ thân bác tui quá",toxic
ko biet chính quyền đang làm cái j như vụ một thanh niên (thôi) xông vào ngân hàng cướp thì có tới trăm cảnh sát bao vây chi v troi ô nao cug muốn ở phưởng cơ quan có ô nào muốn lò mặt ra ngoài để điều tra đâu mà có chắc cug phải cả tháng cả năm cảm thấy xấu hổ vs nhung khách du lịch tới Việt Nam mình,toxic
Vương Hoàng Thái,non-toxic
hình như thằng này là thằng muốn ăn gỏi MC Phan Anh đây mà :3,toxic
Vào mà la liếm đi mấy chú dlv,toxic
Ngon...,non-toxic
Tiên tri vũ trụ hay là người ngoài hành tinh,non-toxic
Lừa minh hiếu còn sủa,toxic
3 que có cờ ko?->,toxic
Nói nhưng họ đâu có thích mình,non-toxic
Hữu Nguyễn căn cứ vào hàng cmt luôn,non-toxic
lại đêu,non-toxic
đẳng cấp anh ơi,non-toxic
Đồng cảm xúc :)) nghe không hay như mấy bài trước :)),non-toxic
Idol giữ gìn sức khỏe cẩn thận nhé không ai tấu hài cho em coi,non-toxic
Vn bjo toàn thằng bệnh nhỉ,toxic
Bê lol chạy là có thật,toxic
Đình Quang ụa đâu có giải gì bên vn đau ta,non-toxic
Đây là câu chuyện buồn mà🙁,non-toxic
"Ăn thua gì, ăn mừng đón con khỉ nói tiếng Hoa cũng chết vài triệu mạng rồi.",toxic
Kênh của aba là kênh kĩ năng nghe chưa =)),non-toxic
Nguyễn Bảo Chấn clm,toxic
Lão Tập qua đây chả ai quan tâm. Dân còn biểu tình phản đối,toxic
Khịa nhau cái lồn.Bố mày còn đéo có yz700 fake mà đeo đây! :)))) Có giày đeo là ngon rồi đm,toxic
Tưởng k có tuổi vs vong ba gà,toxic
Ở đây ai là chủ ???,non-toxic
Chiều pick susan nha thầy <3,non-toxic
trơ trẽn vkl 💩,toxic
Tưởng Nhật Bản văn minh thế nào,non-toxic
Chắc hít dạ hương xong lú cmnr,toxic
quản lý fanpage có đc coi là fan cứng ko anh ui :v,non-toxic
Phắc ộp! Dmca,toxic
Diện Trần khó thương nhiều vào để đất nước nó lớn mạnh trở lại rồi lại đi cướp nước ngủ còn sủa,toxic
Đijt mẹ thằng ad phản động tuyên truyền vớ vẩn,toxic
Không bẩn thỉu không phải cộng sản mà.,toxic
Thôi xong này khỏi đi học,non-toxic
nghệ sĩ nhân dân hài liên minh,non-toxic
Lấy tiền miền nam đi nuôi một lũ con cháu trung quốc,toxic
Covid-19 là cái gương chiếu yêu hay gì á :))) biết bao nhiêu bộ mặt ngu dốt lòi ra,toxic
"Lũ chó , bán nước hại dân",toxic
Cả nước đồng lòng riêng em thi ko,non-toxic
Nhìn quả đầu của cháu tùng em lại nghĩ đến Đấng Dì giây Chip 🤣,non-toxic
hay quá thầy ơi thả tim,non-toxic
lời nói đâu mất tiền mua  sau bà ăn nói ko có văn hóa dzay,toxic
B52 If J97,non-toxic
Hồ Khang đmm. Ý kiến của m như l ý.,toxic
Quá duyên luôn cô ơi 😍😍,non-toxic
"Ngô thanh Vân coi đi có nhục quốc thể không . Gọi fan vô chửi như là chửi cái đứa ca sĩ nước Mỹ mặc áo dài không quần ý , rồi dạy cho cựu VDV nay vô gu ghồ tìm hiểu xem mảnh vải đỏ có hình sao vàng là cờ của nước nào.",toxic
có ai biết best nhạc này không ạ cho em xin :)),non-toxic
ngủ đi,non-toxic
Nhanh thực sự,non-toxic
Tất diên và tất diên.,non-toxic
Hầu như các ca nhiễm bệnh toàn đi từ nước ngoài về nhỉ ??? Lúc mọi người về có nghĩ đến an toàn của bản thân cũng như mọi người ko nhỉ?? Hay não bị vi rút ăn hết cmnr,toxic
Ok đẹp trai :v,non-toxic
Còn đó bị bệnh ngu,toxic
Cái này reset tiền thưởng 😂,non-toxic
"phụ huynh lúc cho con học, chắc giờ đổi ý đi mua mì với gạo r.",non-toxic
Rẫy là cái đ' gì vậy?,toxic
Chị ba còn trinh có cây đinh chính giữa,toxic
Má nó dơ vler 🤣🤣🤣,toxic
Con me nay an noi lao phét mai mọt bi qua bao nang ne,toxic
Bê đê sống thật đi chị 3D,non-toxic
Óc chó mà cũng học chửi! Trung quoc giúp cam bố mày àh!,toxic
Đang ăn cơm còn ăn bim bim ? Thế thì ăn cơm làm sao đc :<,non-toxic
"Bác sĩ trẻ ,đẹp trai ghê ! Ngồi bên cạnh chị gái rất là xinh đẹp ""Minh Hiếu """,non-toxic
Chuyện người ta làm chúng bây ở đây làm thầy bói. Rảnh háng thật,toxic
Vâng anh ấy thật là tuổi trê tài cao,non-toxic
Pr vc tộc trưởng ạ,toxic
Bà ao hồng này cũng rảnh,non-toxic
tôi biết đchi nhé các b haha 🌈🌈🌈,non-toxic
Trend này tui theo lâu rồi,non-toxic
Người ta gọi là đú mà.,toxic
Khi bạn muốn bợ đít ai đó nhưng bạn không có não. Ngu như lợn nhưng vẫn làm báo Đảng đĩ.,toxic
Nhìn mặt tộc trưởng là đang tính toán gì đó,non-toxic
Vui lo`ng Tien Tri Khi na`o ong  Tran Da`n chet ?,toxic
Nghèo bày dạt nỏ.bién di me oi,toxic
Yêu thầy thầy ba tốc độ :)),non-toxic
Unlike page,non-toxic
Tình yêu vĩnh cửu đấy :)),non-toxic
Phan Thị Huyền Trang dép mua đâu zạ bạnnnnnnn,non-toxic
Cay quá b52 ơi,non-toxic
Thầy 20-10 vui vẻ,non-toxic
Chương trình ln gì vậy ? :D :))),toxic
Nguyễn Phương Thảo c ơi cẩn thận nè,non-toxic
Chi nay dep sang,non-toxic
tình hình tham nhũng đang ổn định :3,non-toxic
Khánh Vân trêu tí thôi đừng cáu nhé 😁😁,non-toxic
thầy chơi bẩn vl,toxic
"Nhật cũng đéo phải thằng vừa gì đâu, với mấy thằng Đức nữa, thử khủng hoảng chính trị quân phiệt nhật nó lên xem nó có san bằng cái châu á ko :))",toxic
Cười ra nước mắc :))),non-toxic
"Tạm dừng dùng Facebook làm gì anh ơi , mặc kệ miệng lưỡi thiên hạ họ nói gì thì nói , đâu phải ai cũng là người trong cuộc đâu . Vì vậy anh hãy tiếp tục sử dụng Facebook đi , để còn biết trên Facebook anh đang bị cđm chửi sml chứ",toxic
Chiếc khăn gió ấm chứ🤣🤣🙄,non-toxic
Chị em rụng trứng chưa,non-toxic
Tao cháu ông tổng thống mỹ nè .đụ má xạo lồn.,toxic
thế đấy dkm,toxic
Nhìn cái cách ông viện kiểm sát cười,non-toxic
Lê Nhật Trâm sao thế ạ ;-;,non-toxic
Nhớ lại cảm giác hồi xưa vẫn thấy hồi hộp. Cho dù kết quả ra sao đi chăng nữa thì các em vẫn sẽ trưởng thành trên con đường của mình,non-toxic
Thế là nghĩ học dài dài:))))),non-toxic
Rô nói vậy chắc người việt không có ý thức bằng bọn nhật,toxic
"Kệ mẹ mấy thằng bị nhồi sọ chửi ad, càng đông càng khai sáng đuoc, tạo cơ duyên đến với dân chủ, văn minh,..",toxic
Hà Linh hoa 1 cánh à 😂😂,non-toxic
Bớt bớt đi,non-toxic
"Fan cứng abe, dù nghèo toàn xem chùa thôi 🤣",non-toxic
Khá khó🙂,non-toxic
Phúc Báo làm kiểu ta đây giàu đi chơi du lịch qua mấy vùng dịch chơi ấy mà,toxic
Xàm lồn quá thằng bóng ơi,toxic
Ĩ khùng 😑,toxic
Công nghệ Đức của nhà máy nước Sông Đuống đây :)) hoá ra là Đức Chung :)),toxic
vu e bi xe qua c oi.nhung e k co tien huhu,non-toxic
Tủnn Tủnn trẩu,toxic
"cũng đúng vì giáo trình của vn mức độ khó hơn nước ngoài nhưng tiếc là khi làm thực tế thì chẳng được bao nhiu. 12 năm đèn sách, 5 năm đại học ra trường ko có tiền ko có quan hệ thì cũng thất nghiệp.",toxic
