Description,Label
nhìn giống diễm my bộ tính níu_kéo vũ linh quay về ha dì,non-toxic
biết gì đâu con tinh_trùng khuyết_tật,toxic
vãi lồn cái bọn này mà không làm cái này thì tụi nó cũng kiếm_ăn bằng cái khác thôi,toxic
đúng ời,non-toxic
trần dần nói tro sướng cái lỗ mồm hắn này về việt_nam thì phải tro ngay vào thường_tín hà_tây,toxic
hơn một năm cho cái tên gà trống cao_bằng,non-toxic
ma ba rat la xinh xan con noi thiet,non-toxic
ông làm bố tôi hơi lâu rồi đấy tùng sói said,non-toxic
lâm nhi việt_nam cũng tư_bản thôi mấy thằng lãnh_đạo nhà giàu 3 họ nứt vách như tiểu bá_tước chứ dân_đen có được gì đâu,toxic
anh độ cứ gọi là phong_độ,non-toxic
phó chủ_nhiệm ubkttp tân_anlong an không có bằng_cấp 3 nhưng lý_luận ct rất giỏi,toxic
cẩu quan thì luôn có những sáng_kiến dị_hợm mà không biết chúng có biết chữ để đọc báo không,toxic
con nay mat dai,toxic
nhìn chán đời v,non-toxic
suti hồng cẩn_thận nè,non-toxic
khánh linh,non-toxic
con_mẹ mày trốn học thầy tao qua đây khịa cái gì đây,toxic
nhìn tướng của nhà tiên_tri mà tôi thấy bần_tiện lưu_manh thế_nào í,toxic
thần_đồng toán_học,non-toxic
cứ gọi là giao_long đi truyền thuyến nói rằng rắn tiến_hoá thành rồng mà,non-toxic
ủng_hộ abe ủng_hộ abe,non-toxic
sao cái bọn tìm_hiểu qh theo_dõi ai nó rảnh vãi cả lồn thế nhỉ,toxic
bị vượn dắt bóng qua háng rồi,non-toxic
lương_kiều trúc uyên đồng quan_điểm,non-toxic
nóng như thế_này cho ông_già đi du_lịch vòng_quanh tủ_lạnh là hợp_lý nhất sói said,non-toxic
con này hết thuốt chửa chữa rồi xin_lỗi thua cạn lợi,toxic
ai cho tao biết nhạc n như_thế_nào không,non-toxic
iu nhau không liếm lnửa,toxic
hoàng ngọc hoà sũa con cặc,toxic
bạn trẻ ở trên là acc của ad hả nó chửi ad chứ có chửi mày đâu kệ mẹ chúg nó đi,toxic
chán,non-toxic
ông nào khai_giảng không chụp ảnh_điểm danh cái,non-toxic
top 1 thịnh_hành là điều đương_nhiên thôi,non-toxic
người gì đâu mà chưởi người việt_nam mình trưởi người ta quá_trời đúng là bã chưa thấy quan_tài chưa đổ lệ,toxic
phải có cạnh_tranh để người dùng hưởng lợi,non-toxic
rất healthy và balance anh ạ,non-toxic
nhìn anh tôi tấu hài quen rồi bật mode này tưởng nhầm kênh,non-toxic
cường nguyễn_chắc là do nghe quen dòng nhạc của katm quen rồi nên giờ nó vậy đấy ạ nhạc của jack nghe càng nhiều lần càng hay,non-toxic
cắm_đầu luôn,non-toxic
from mixi with love,non-toxic
cực_kỳ thuyết_phục,non-toxic
đây là doanh_nghiệp đề_nghị nhé chứ chính_quyền chưa đề_nghị đâu,non-toxic
nhím săn em này,non-toxic
tin_vui đang công san việt_nam bi nhiêm virus corona chêt gân hêt rôi hahaha,toxic
ngươi ta co gì ngươi ta co đưng co tưc ma noi ngươi ta,non-toxic
,non-toxic
tiktok official rồi minh hiếu làm gì mà chửi hả con thiểu_năng có não không bt suy_nghĩ ak chưa chắc gì mấy đứa ghép hình nó với mh là fan của mh,toxic
có một người đàn_ông nọ đứng ở giữa quảng_trường và hét to lãnh_đạo đất_nước là những thằng ngu,toxic
lãnh_đạo v toàn bọn ăn tàn_phá hoại đúng quy_trình,toxic
bên mỹ thiếu bệnh_viện thần_kinh,non-toxic
anh độ đạp xe chất như nước_cất,non-toxic
ơ cái địt con mẹ_con vj chon lon nào vào sủa cái câu ngu ngục vãi cả lồn mục_đích ca_sĩ ra bài là để cho khán_giả nghe thưởng_thức và các khán_giả có quyền nhân xét về sản_phẩm đó lại là mấy con fans hâm_mộ trẩu tre này,toxic
vẫn là đứt thôi mua thế chứ mua nữa vẫn hẹo,non-toxic
ai đi ngang qua vào wall em like avt mới dùm em ạ em cảm_ơn nhiều,non-toxic
bạn mới sàm đó,toxic
địt_mẹ ông nói_phét à cái vòng cổ đã quá 2l cụ rồi,toxic
đéo trình_bày gì hết,toxic
trend này việt_nam đi cả chục năm trước,non-toxic
virus này bọn tầu sản_xuất ra có tác_dụng phụ kích_thích ảo_giác thì phải thằng nào con nào bị cũng tìm cách đi du_lịch,toxic
xuân thức nhưng vẫn lạnh kèm nồm kèm mưa_phùn đúng bao luôn,non-toxic
không biết có ý gì luôn,non-toxic
nguyễn_hiếu hàng 1 1 với fake là 1 chứ khác_biệt lz gì đâu,toxic
loài ấuhồ tuyên_giáo thì bài và luận chỉ một giọng_điệu bưng bô,toxic
xe_điện khi mà bị mất dấu nặng thì các bạn hiểu ý tôi chứ tin tôi đi vài năm nữa nằm la_liệt đầy đường bác nào nhanh_trí học_khoá sữa xe_điện chắc_chắn sẻ ăn_nên_làm_ra,non-toxic
tao ngại phải dùng cái từ này nhưng_mà không nói không được óc chó,toxic
con sâu gặm tiền,toxic
minh cường cực_kì thuyết_phục,non-toxic
vẫn là dân khổ đảng cs muôn_năm,toxic
phan sa_đéc xin chào ae,non-toxic
lao gia khung tien tri cai con c,toxic
quan_trọng là dân đéo tin vào chúng_mày nữa chứ không phải là sợ chúng_mày lạm_quyền trưng_dụng,toxic
con yêu cô quá,non-toxic
nhìn ngứa_mắt,toxic
mình thờ_ơ với nó đến một ngày nó sẽ đến tìm mình,non-toxic
sao nó sống tới tận giờ được nhỉ,toxic
ai hợp_tác tương_lai làm đứa không,non-toxic
tokyo drift,non-toxic
sống chậm đi các pro,non-toxic
dẹp mịe cái hội bảo_vệ người tiêu_dùng đi tốn tiền,toxic
dạy bơi cho cá bơi thì đương_nhiên nó bơi được vì nó là cá làm_sao cho nó sống được mới là điều người_dân đang quan_tâm,toxic
thầy khổ lắm,non-toxic
đinh nguyễn_vươn anh tuan,non-toxic
thảo đào_văn,non-toxic
suy_nghĩ của e bgiờ có nên vì tiền mà phá_bỏ tất_cả,non-toxic
nhịn nói sẽ bớt ngu chú ạhi,toxic
,non-toxic
con rồng cháu tiên sợ đéo gì con virus này,toxic
linda như thám_tử bắt tận_tay đối chấp với thanh_niên quay lén mình,non-toxic
aba hát hay quá nghe xong xỉu luôn,non-toxic
đồ khùng,toxic
địt con_mẹ tướng mà giờ chơi loto để hy_vọng vãi cả,toxic
bọn dâm_loạn_viên được dạy nói xuôi nói ngược mà_lại,toxic
huy hieu de lam gi ae v,non-toxic
như,toxic
dell hiểu kiểu gì,toxic
mua ở đây nhé các ông,non-toxic
supi trần hự hự như một cắt vào tâm_hồn em,non-toxic
anh_em nào ở khu_vực tây_ninh mà muốn vay tiền thì alo mình à 1tr ngày 5k thôi nhé,non-toxic
bình_thuận toang rồi ôg giáo ạ,non-toxic
trăm_năm_kiều vẫn là kiều,non-toxic
hoi nao noi tot nguoi ta bay gio chac an kg duoc nua nen xoay qua chi tui la nguoi kg biet ai het nhung xem ba thay ghet qua ba hieu oi lat qua lat lai cung la ba mot cung chi ba hai cung chi ba bay gio chui tan nat ba la loai gi vay ba hieu be de nghe ma thay ghet,toxic
sao hồi lần chị chị_em em bây h tan_rã rồi,non-toxic
con này đang tụng kinh hay đag đọc ráp vậy trời,non-toxic
nhok lầy địt_mẹ trên mạng thì gáy khét vãi lồn em ạ ra đường câm như con chó,toxic
bố yêu dz lắm tym tym,non-toxic
ủa thầy có nói lộn hk e thấy thầy mới là người hk làm được gì mà,non-toxic
đánh chết cụ mấy tg nhà_báo đó đi láo lz nta đéo cho còn cố vào tự_ý hành_động địt_mẹ mấy tg nhà_báo tốt_nghiệp ttgdtx thì có quy_củ đb gì đánh chết mẹ nó đi,toxic
bắt trend hơi trễ nha,non-toxic
nhìn giống váy què của chipu,non-toxic
dkm cá chêt là do không biêt bơi nhá đo đo cái loz què,toxic
chán không thèm nói,non-toxic
khổ quá này quảng_cáo món lươn nghệ_an quê choa chứ rắn với rồng nào ở đây,non-toxic
video hay quá,non-toxic
du_học_sinh úc đâí,non-toxic
chị_em rụng trứng chưa,non-toxic
mỹ nói thật virus trung cộng chuyên nói_láo nó giấu diếm phải thêm số bị nhiễm của nó 2 con_số,toxic
ngo boingoc giống bên úc lợn tự cách_ly nên mới có chuyện dương_tính vẫn đi siêu_thị shopping đang chờ kqua xét_nghiệm vẫn đi hoà_nhạc vãi lồn dân_chủ nghĩ nó chán,toxic
châu_mỹ đây là cánh hoa,non-toxic
nhỉnh mặt là thấy ác_quỷ rồi,toxic
tập này thấy hay nhất trong tất_cả các tập come out lisà cai_lậy xinh quá đi,non-toxic
có bài sấm truyền đọc hoài,non-toxic
đm có mỗi con đường cho mays chị_em buôn_bán con đường cho mấy anh_em mua mượn vậy_mà giờ biếc cố xảy ra không biết_mấy chị_em còn tâm_trạng đứng không nữa hay lúc nó rớt xuống sợ rớt mẹ lồn ra đường thì khỏi làm_ăn gì luôn,toxic
cô ba chở vàng qua mỹ nghe hư_cấu vlmày vào xem ký_sự 304 đi nhé,toxic
paula lưu chán chả muốn nói,non-toxic
nhìn dơ dơ sao á ớn cả lạnh cùng người miền tây ma thấy bà này ghê quá mà nói hot girl,toxic
78 hả a,non-toxic
minh khang cùng câu hỏi với bác,non-toxic
minh ang toang luôn thấy bảo đề_xuất với uefa chuyển euro sang 2021 tổ_chức,non-toxic
không mấy chị xuân nghỉ chơi với nồm và mưa_phùn đk _,non-toxic
ông_già tôi nuôi tôi lớn thế_này rồi các bạn ạ,non-toxic
phương trang dạ chiều nay tớ cũng mới xem thời_sự rồi ạ,non-toxic
thi nhau add,non-toxic
nứng quá abe oi chơi e đi abe,toxic
mac ia qua,toxic
được_anh,non-toxic
1410 thần_quyền môn súng bắn không trúng nha mạ ngừ,non-toxic
học_trò ngoan,non-toxic
nghe các thánh comment mà muốn comment quá,non-toxic
hoàng_anh đỗ đây nè,non-toxic
trang myhan nho lém á,non-toxic
vải lông gì tỷ nổ lằn nổ lốn dell ai quan_tâm,toxic
các bạn win custom vui_lòng screenshot lịch_sử trận đấu và inb về fanpage để thầy phát thẻ cào nhé,non-toxic
tên trần dần này biết cái cứt gì đâu mà tôn_vinh tiên_tri vũ trụthật là một lũ nhảm,toxic
rất tiếc là không đủ số phiếu để luận_tội bà carie lam,non-toxic
cung hay đong hoc phi lăm,non-toxic
mọi người qua lịch sư với tên khốn này rồi cha đứa be bị đánh nên ra_tay cho nó thành tât đi đừng hi_vọng nhiều ở luật phap,toxic
nhảm_nhí vãi lồn,toxic
mình bỏ liên_quân mà các táo lại chơi,non-toxic
chỉnh_sửa quá_đáng cho abe,non-toxic
lúc nhỏ cứ nghĩ người mà không có não là không sống được lớn lên mới biết thầy bar không có não vẫn sống như_thường,toxic
bao_giờ chết,toxic
xuân mai bảo ngọc yến nhi trend nha mấy bà,non-toxic
hôm_nay bỏ liêm xỉ ra xin 1 like avatar ạ,non-toxic
bà hổn láo quá,toxic
lik đâu địt con_mẹ,toxic
cắt bớt đất bán cho trung để trả,non-toxic
rồi đeo hiểu nghĩ con cac gì chấp_hành vừa tốt mình vừa giúp nhà_nước h lại thêm quản phạt với ngồi_tù nữa thì hay,toxic
bạn trai nhà người ta chưa bao_giờ làm tôi thất_vọng,non-toxic
thây nươc ngta thây ham nhin lai xư vit ngan chan,toxic
chán thầy,non-toxic
bát mì của anh chắc em tích tiền ăn sáng 3 năm mới đủ,non-toxic
pham văn rang tưng băt dinh 3 qua cua pele va vô đich sea_game lân 1,non-toxic
ảnh ghép hú_hồn cái lol còn_nguyên,toxic
chả hiểu cái mẹ gì luôn,toxic
huy_hoàng like động_viên ny à,non-toxic
anh minh,non-toxic
nhìn lướt qua thì trông chất vãi lồn nhìn kỹ lại thì trông như cái đb ý,toxic
cuoiis cùng không ra cái méo gì vợ táng cho sml,toxic
chiến trần tao lao,toxic
bùi_văn_lực,non-toxic
duma tức ák,toxic
ăn_mặc không để đụng hàng nên cũng không giống ai và con gì luôn,toxic
sơn nguyễn_chuẩn đm phí tiền vé vãi lồn,toxic
địt_mẹ mấy thằng sếp và những thằng liên_quan của tao luôn,toxic
from bảo_yên with love,non-toxic
bài này không nghe rõ được chữ nghe không hay như những bài trước ý_kiến cá_nhân nha,non-toxic
rồi thế giáo_án đá phò đâu thầy lồn,toxic
hồng mã chúc c năm mới nhận được cuốn sách này do ny tặng he 2 cái khó quá thì đạt được 1 trong 2 cũng đk,non-toxic
cái địt cụ nhà chúng_nó việt_nam nhiều giáo_sư tiến_sỹ nhất thế_giới mà chẳng thằng lồn nào hiểu chất_độc nó là cái gì bọn bú lồn ăn_tục_nói_phét thôi,toxic
tao thấy nhiễm covid này toàn bọn nhiều tiền và thích đi du_lịch đấy,toxic
thanh thảo rùa loan đỗ khánh huyền trần thu trang team nhận lương sau tết,non-toxic
djtmenhaong,toxic
con trai mất điện_thoại đổ thừa ba nên báo công_an quá bất_hạnh cho thằng con mất ba đéo tiếc tiếc cái điện_thoại,toxic
chak không đau,non-toxic
tuấn mạnh thật bác ạ,non-toxic
cai miệng nói không sợ bị hậu_quả,toxic
trend này về việt_nam ra đường dơ lên cái lại thâm mắt các idol bậy quá,non-toxic
sống bằng cacban rồi không bị chậm nữa,non-toxic
thanhhuy nguyen vãi cả lồn,toxic
đéo biết game phải để giải_trí không nữa,toxic
nhọc cơ_khổ,non-toxic
được quá a ơi,non-toxic
con đĩ này bóng lộ nè,toxic
tôi không nhịn được cười công_nhận a lân hay thiệt,non-toxic
slay quá,non-toxic
gai oi nha em o phuong5 cay lay không gai,non-toxic
,non-toxic
nhân kiểu tày,non-toxic
tùng ngại quá tùng chốn đây,non-toxic
quái thú,non-toxic
đme vẫn là vô_ý_thức,toxic
yêu làm cái gì,non-toxic
đó là 1 câu_chuyện bùn,non-toxic
tính cả rồi đó chứ,non-toxic
thầy gê thiệt,non-toxic
sao phải xoắn,non-toxic
con gái của thầy đó,non-toxic
cố_vấn cấp cao cho đàn c hó,toxic
ai cho lũ chống tổ_quốc về nước bọn mày mơ,toxic
ước dc cuốn như_vậy,non-toxic
anh kể cảm_động quá,non-toxic
ngoài những giáo_án xịn sò thì đây là những gì anh_em ta sẽ tiếp_thu được từ thầy cám_ơn thầy và xin đuỵt mẹ thầy,toxic
chị chan mặc bikini ngon vailon,toxic
thì năm tỵ là rắn mà trông cũng giống rắn để dùng luôn cho độ phí,non-toxic
ngày nào tui cũng nghe tin là thêm 1 bệnh_nhân lo_lắng thật_sự,non-toxic
cụ nói mỹ xoá ván cờ vnch chỉ là con cờ trong tay mỹ thôi cụ điên_khùng là bước chuyển_giao trước khi đầu_hàng cộng_sản,toxic
dung la y nghia dan giau nuoc manh luon,non-toxic
mai ngọc ò,non-toxic
2013,non-toxic
anh ở trong khu cách_ly mà la_lối tùm_lum tùm la,non-toxic
giờ này nó ngồi trong đó tù,toxic
văn thị cẩm vân con sam ý hả bạn mình thấy ngon mà ta nhưng có ngon mình cũng không dám ăn lần nữa vì sợ bị nhầm thì toi,non-toxic
3 tự_hào là người việt_nam tự_hào là cháu ngoan bác_hồ d,non-toxic
lỗi không phải tại anh đâu mà là tại mấy anh công_an không xích anh được sớm hơn thôi chứ bên vũ hán anh vào lò lâu rồi,toxic
dũng trần người việt sang mỹ xong bay dìa cái thành người thứ 34,non-toxic
bố nó làm to mẹ nó làm bự,toxic
cô tôi hehee,non-toxic
đia bay phải khog mọi người,non-toxic
dỗi vãi lồn cay vãi lồn,toxic
chết là phải toàn thành_phần óc chó đua xe không,toxic
thành vinh có page ba gà và những người bạn đó liên_hệ xem,non-toxic
stupid cực mạnh,toxic
trúc đỗ bữa nào mẹ_con b qậy ông thầy 1bữa,non-toxic
văn_hoá máu lồn huh mất dậy nhưng có che_đậy gì đâu like,toxic
ức_hiếp dân thì giỏi lắm,toxic
mãi mới ra series này v,non-toxic
non nguoi hue kg phai bac ky,non-toxic
mà mệt nói_thì nói mẹ đi,toxic
uiss cùi vãi lồn lương mấy chục ngìn đồng còn được ăn pizza loại kẹo dẻo đây,toxic
muốn phòng_chống thì phải viết sách nghen,non-toxic
rồi xong cái mặt nó thành cái gì,non-toxic
đoàn duy diện có phải trong ngõ yên lãng không,non-toxic
mấy thằng báo đời này sao không ai chế_tài,toxic
facebook linda la_gi v mọi người,non-toxic
nguyễn_minh hiếu nghe nói anh zai ở cầu_giấy,non-toxic
hahahahahahahaha,non-toxic
nh e là đời lên đéo cần e,toxic
sống nhanh lên các bạn ơiiii,non-toxic
ở đéo đâu chả có ung_thư đời_sống đi lên tỷ_lệ bệnh_tật nhiều việt_nam còn hơn chán bọn tây lông là hầu_như đứa nào cũng dị_ứng nhé lại cái bài ca việt_nam trong top tỉ_lệ ung_thư cao còn cao nhiêu thì số_liệu đéo rõ_ràng top các nước ung_thư cao thế_giới toàn eu với mỹ hết,toxic
ơn dời ông ấy còn sốngông ấy làm tôi phải buồn mấy hum naytưởng ông ấy bỏ diễn hài mà đi theo cô vi 19tuổi rùi chứ,non-toxic
minh hiếu đẹp xuất_sắc xứng_đáng hoa_hậu quí bà khuôn măt đẹp phúc_hậu mc đẹp_trai miệng cười_duyên quá đi,non-toxic
tien loc truong,non-toxic
đức tài em đang ở tâm dịch đây_anh,non-toxic
vẫn là abe nhưng ở 1 nền nhạc khác,non-toxic
em đang bán 1 số loại thuốc_lá thơm ai lấy loạj nào nhắn_tin em nhe e co bán_lẻ và nhận ship toàn_quốc,non-toxic
tiết_kiệm chi_phí,non-toxic
choán hông,non-toxic
có gì đâu rần_rần,non-toxic
thắm mồm thối,toxic
và thằng_cha bảo mày xuống xe ngay mất_dạy,toxic
công_nhận cái khẩu_trang giống thật còn,non-toxic
lê_thị trang đắt vcd,toxic
chừng nào cái bọn súc_sinh này mới tha cho dân việt_nam đây,toxic
nghe có_vẻ hư trúc nhưng lại rất mộ dung phục,non-toxic
cà_khịa đi xíu thầy vô chửi cm,toxic
địt_mẹ quảng_cáo,toxic
điên,toxic
quần gạ chịch à,toxic
đấy du_học_sinh úc đấy,non-toxic
trương duy lz mẹ,toxic
giới ơi la_trời oiiii,non-toxic
trung quảng_cáo,non-toxic
chi đep lăm,non-toxic
còn không làm mà đòi ăn thì ăn,non-toxic
đáng_lẽ nhà_nước tong chúng_nó ra đảo hết mới phải mang tiền đi du_lịch rồi mang virut báo_hại nhà_nước,toxic
chuẩn,non-toxic
vvvbgfggff nshsbbsna võ minh hiếu lộc tài bảy miếng đất,non-toxic
mày nghĩ lần này lọt top trending là do mọi người quá ngóng một sản_phẩm mới từ jack,non-toxic
uy_tín chó gì bọn độc_tài,toxic
nhìn mặt đẹp gái mà cái tính lại xấu_xa thế_này,toxic
reaction đi thầy ơi,non-toxic
ngọc thắng chở nửa đi vê mà cánh ly dần đi,non-toxic
trông như thằng điên hãm,toxic
phan ngô địt_mẹ nước sông không phạm nước giếng ok ai tao cũng idol hết ok nhưng bức_xúc chửi vậy thôi không quên chúc cô buổi tối vv,toxic
giết quách được phát ra từ miệng 1 người đại_diện cho pháp_luật vnhỏi đạo đứctrách nhiệm của ông ở đâuhay ông là loài đv máu lạnh,toxic
